gid,terrai_cod,terrai_nom,etnia_nome,municipio_,uf_sigla,superficie,fase_ti,modalidade,reestudo_t,cr,faixa_fron,undadm_cod,undadm_nom,undadm_sig,dominio_un,data_atual,epsg
157,16101,Igarapé Lage,Pakaa Nova,"Guajará-Mirim,Nova Mamoré",RO,107321.1789,Regularizada,Tradicionalmente ocupada,,COORDENACAO REGIONAL DE GUAJARA MIRIM,Sim,30202001941,COORDENACAO REGIONAL DE GUAJARA MIRIM,CR-GJM,t,12/06/2015,0
158,16201,Igarapé Lourdes,Gavião de Rondônia,Ji-Paraná,RO,185533.5768,Regularizada,Tradicionalmente ocupada,,COORDENACAO REGIONAL DE JI PARANA,Não,30202001948,COORDENACAO REGIONAL DE JI PARANA,CR-JPR,t,02/08/2016,0
159,16301,Igarapé Ribeirão,Pakaa Nova,Nova Mamoré,RO,47863.3178,Regularizada,Tradicionalmente ocupada,,COORDENACAO REGIONAL DE GUAJARA MIRIM,Sim,30202001941,COORDENACAO REGIONAL DE GUAJARA MIRIM,CR-GJM,t,17/06/2019,0
211,21601,Karipuna,Karipuna,"Porto Velho,Nova Mamoré",RO,152929.8599,Regularizada,Tradicionalmente ocupada,,COORDENACAO REGIONAL DE JI PARANA,Sim,30202001948,COORDENACAO REGIONAL DE JI PARANA,CR-JPR,t,12/11/2018,0
214,21801,Karitiana,Karitiana,Porto Velho,RO,89682.138,Regularizada,Tradicionalmente ocupada,,COORDENACAO REGIONAL DE JI PARANA,Sim,30202001948,COORDENACAO REGIONAL DE JI PARANA,CR-JPR,t,,0
216,22001,Kaxarari,Kaxarari,"Lábrea,Porto Velho","AM,RO",145889.9849,Regularizada,Tradicionalmente ocupada,,COORDENACAO REGIONAL ALTO PURUS,Sim,30202001845,COORDENACAO REGIONAL ALTO PURUS,CR-Apur,t,12/05/2022,0
239,24101,Kwazá do Rio São Pedro,"Kwazá,Aikanã",Parecis,RO,16799.8763,Regularizada,Tradicionalmente ocupada,,COORDENACAO REGIONAL DE CACOAL,Sim,30202001934,COORDENACAO REGIONAL DE CACOAL,CR-CAC,t,,0
271,27701,Massaco,Isolados,"Alta Floresta D´Oeste,São Francisco do Guaporé",RO,421895.0769,Regularizada,Tradicionalmente ocupada,,COORDENACAO REGIONAL DE JI PARANA,Sim,30202001948,COORDENACAO REGIONAL DE JI PARANA,CR-JPR,t,,0
309,31601,Pacaas Novas,Pakaa Nova,Guajará-Mirim,RO,279906.3833,Regularizada,Tradicionalmente ocupada,,COORDENACAO REGIONAL DE GUAJARA MIRIM,Sim,30202001941,COORDENACAO REGIONAL DE GUAJARA MIRIM,CR-GJM,t,,0
328,33601,Parque do Aripuanã,Cinta Larga,"Juína,Vilhena","MT,RO",1603245.9806,Regularizada,Tradicionalmente ocupada,,COORDENACAO REGIONAL DE CACOAL,Sim,30202001934,COORDENACAO REGIONAL DE CACOAL,CR-CAC,t,08/08/2024,0
380,38601,Rio Branco,"Tupaiu,Makuráp","Alta Floresta D´Oeste,São Francisco do Guaporé",RO,236137.11,Regularizada,Tradicionalmente ocupada,,COORDENACAO REGIONAL DE JI PARANA,Sim,30202001948,COORDENACAO REGIONAL DE JI PARANA,CR-JPR,t,06/02/2025,0
388,39501,Rio Guaporé,Makuráp,Guajará-Mirim,RO,115788.0842,Regularizada,Tradicionalmente ocupada,,COORDENACAO REGIONAL DE GUAJARA MIRIM,Sim,30202001941,COORDENACAO REGIONAL DE GUAJARA MIRIM,CR-GJM,t,,0
391,39801,Rio Mequens,Sakurabiat,Alto Alegre dos Parecis,RO,107553.0101,Regularizada,Tradicionalmente ocupada,,COORDENACAO REGIONAL DE CACOAL,Sim,30202001934,COORDENACAO REGIONAL DE CACOAL,CR-CAC,t,22/03/2020,0
392,40001,Rio Negro Ocaia,Pakaa Nova,Guajará-Mirim,RO,104063.8114,Regularizada,Tradicionalmente ocupada,,COORDENACAO REGIONAL DE GUAJARA MIRIM,Sim,30202001941,COORDENACAO REGIONAL DE GUAJARA MIRIM,CR-GJM,t,,0
393,40002,Rio Negro Ocaia,Pakaa Nova,Guajará-Mirim,RO,235070.0,Declarada,Tradicionalmente ocupada,Reestudo,COORDENACAO REGIONAL DE GUAJARA MIRIM,Sim,30202001941,COORDENACAO REGIONAL DE GUAJARA MIRIM,CR-GJM,f,,0
394,40101,Rio Omerê,"Akuntsú,Kanoé","Chupinguaia,Corumbiara",RO,26177.1864,Regularizada,Tradicionalmente ocupada,,COORDENACAO REGIONAL DE JI PARANA,Sim,30202001948,COORDENACAO REGIONAL DE JI PARANA,CR-JPR,t,25/06/2020,0
400,40701,Roosevelt,Cinta Larga,"Rondolândia,Pimenta Bueno,Espigão D´Oeste","RO,MT",230826.3008,Regularizada,Tradicionalmente ocupada,,COORDENACAO REGIONAL DE CACOAL,Não,30202001934,COORDENACAO REGIONAL DE CACOAL,CR-CAC,t,27/02/2025,0
401,40801,Sagarana,Pakaa Nova,Guajará-Mirim,RO,18120.0636,Regularizada,Tradicionalmente ocupada,,COORDENACAO REGIONAL DE GUAJARA MIRIM,Sim,30202001941,COORDENACAO REGIONAL DE GUAJARA MIRIM,CR-GJM,t,07/12/2021,0
422,43001,Sete de Setembro,Suruí de Rondônia,"Rondolândia,Espigão D´Oeste,Cacoal","RO,MT",248146.9286,Regularizada,Tradicionalmente ocupada,,COORDENACAO REGIONAL DE CACOAL,Não,30202001934,COORDENACAO REGIONAL DE CACOAL,CR-CAC,t,19/08/2016,0
462,46701,Tubarão Latunde,"Laiana,Aikanã",Chupinguaia,RO,116613.3671,Regularizada,Tradicionalmente ocupada,,COORDENACAO REGIONAL DE CUIABA,Sim,30202002025,COORDENACAO REGIONAL DE CUIABA,CR-CGB,t,17/11/2017,0
477,48201,Uru-Eu-Wau-Wau,Uru-Eu-Wau-Wau,"Alvorada D´Oeste,Governador Jorge Teixeira,Campo Novo de Rondônia,Mirante da Serra,São Miguel do Guaporé,Cacaulândia,Costa Marques,Jaru,Guajará-Mirim,Seringueiras,Nova Mamoré,Monte Negro",RO,1867117.8,Regularizada,Tradicionalmente ocupada,,COORDENACAO REGIONAL DE JI PARANA,Sim,30202001948,COORDENACAO REGIONAL DE JI PARANA,CR-JPR,t,12/02/2025,0
575,66301,Tanaru ( restrição de uso ),Isolados,"Chupinguaia,Parecis,Pimenteiras do Oeste,Corumbiara",RO,8070.0,Em Estudo,Interditada,,COORDENACAO REGIONAL DE JI PARANA,Sim,30202001948,COORDENACAO REGIONAL DE JI PARANA,CR-JPR,f,20/10/2022,0
624,73745,Uty-Xunati,Terena,Vilhena,RO,897.1607,Encaminhada RI,Reserva Indígena,,COORDENACAO REGIONAL DE CUIABA,Não,30202002025,COORDENACAO REGIONAL DE CUIABA,CR-CGB,t,21/06/2017,0
